[Time:       37] [Episode:      155 Length       50 Score:     2.6938] [RScore:     1.9487 RPPS:   316] [PPS:   317 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      156 Length       71 Score:     7.1322] [RScore:     1.9819 RPPS:   317] [PPS:   318 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      157 Length       46 Score:     3.1710] [RScore:     1.9895 RPPS:   317] [PPS:   318 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      158 Length       45 Score:     2.6474] [RScore:     1.9937 RPPS:   317] [PPS:   318 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      159 Length       24 Score:     1.4614] [RScore:     1.9903 RPPS:   317] [PPS:   318 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      160 Length       44 Score:     3.6909] [RScore:     2.0009 RPPS:   316] [PPS:   317 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      161 Length       39 Score:     2.3683] [RScore:     2.0032 RPPS:   317] [PPS:   318 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      162 Length       58 Score:     1.8849] [RScore:     2.0025 RPPS:   318] [PPS:   319 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      163 Length       66 Score:     5.8373] [RScore:     2.0260 RPPS:   319] [PPS:   320 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      164 Length       27 Score:     1.4707] [RScore:     2.0226 RPPS:   318] [PPS:   319 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      165 Length       66 Score:     5.7112] [RScore:     2.0450 RPPS:   319] [PPS:   320 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       38] [Episode:      166 Length       29 Score:     1.6937] [RScore:     2.0429 RPPS:   320] [PPS:   321 TPS:    61] [NT:  4 NP:  5 NA: 64]
